date;time;x;y;fx;fy
19/12/2022;11:39:33.692;120;-120;0;0
19/12/2022;11:39:33.755;120;-120;0;0
19/12/2022;11:39:33.817;120;-120;0;0
19/12/2022;11:39:33.880;120;-120;0;0
19/12/2022;11:39:33.942;120;-120;0;0
19/12/2022;11:39:34.005;120;-120;0;0
19/12/2022;11:39:34.067;120;-120;0;0
19/12/2022;11:39:34.130;120;-120;0;0
19/12/2022;11:39:34.192;120;-120;0;0
19/12/2022;11:39:34.255;120;-120;0;0
19/12/2022;11:39:34.317;120;-120;0;0
19/12/2022;11:39:34.380;120;-120;0;0
19/12/2022;11:39:34.442;120;-120;0;0
19/12/2022;11:39:34.505;120;-120;0;0
19/12/2022;11:39:34.567;120;-120;0;0
19/12/2022;11:39:34.630;120;-120;0;0
19/12/2022;11:39:34.692;120;-120;0;0
19/12/2022;11:39:34.755;120;-120;0;0
19/12/2022;11:39:34.818;120;-120;0;0
19/12/2022;11:39:34.880;120;-116;0;317
19/12/2022;11:39:34.942;120;-113;0;317
19/12/2022;11:39:35.005;120;-109;0;317
19/12/2022;11:39:35.067;120;-102;0;317
19/12/2022;11:39:35.130;120;-98;0;317
19/12/2022;11:39:35.192;120;-95;0;161
19/12/2022;11:39:35.255;120;-90;0;161
19/12/2022;11:39:35.317;120;-88;0;161
19/12/2022;11:39:35.380;120;-85;0;161
19/12/2022;11:39:35.442;120;-83;0;161
19/12/2022;11:39:35.505;120;-81;0;147
19/12/2022;11:39:35.567;120;-77;0;147
19/12/2022;11:39:35.630;120;-74;0;147
19/12/2022;11:39:35.693;120;-72;0;147
19/12/2022;11:39:35.755;120;-70;0;147
19/12/2022;11:39:35.817;120;-67;0;120
19/12/2022;11:39:35.880;120;-65;0;120
19/12/2022;11:39:35.942;120;-64;0;120
19/12/2022;11:39:36.005;120;-62;0;120
19/12/2022;11:39:36.067;120;-58;0;126
19/12/2022;11:39:36.130;120;-57;0;126
19/12/2022;11:39:36.193;120;-55;0;126
19/12/2022;11:39:36.255;120;-53;0;126
19/12/2022;11:39:36.317;120;-50;0;126
19/12/2022;11:39:36.380;120;-48;0;138
19/12/2022;11:39:36.442;120;-46;0;138
19/12/2022;11:39:36.505;120;-44;0;138
19/12/2022;11:39:36.567;120;-40;0;138
19/12/2022;11:39:36.630;120;-38;0;138
19/12/2022;11:39:36.692;120;-36;0;216
19/12/2022;11:39:36.755;120;-29;0;216
19/12/2022;11:39:36.817;120;-26;0;216
19/12/2022;11:39:36.880;120;-23;0;216
19/12/2022;11:39:36.942;120;-20;0;216
19/12/2022;11:39:37.005;120;-16;0;169
19/12/2022;11:39:37.068;120;-11;0;169
19/12/2022;11:39:37.130;120;-9;0;169
19/12/2022;11:39:37.192;120;-6;0;169
